INSERT INTO fa22_sg_order_product (quantity, actual_price, product_id, order_id) VALUES 
('2', '321.3', 'TEC-MA-6137', 'ES-2014-VM21835139-41817'), 
('5', '244.56', 'FUR-CH-5452', 'US-2014-TB2140082-41947'), 
('4', '396.0', 'TEC-MA-5084', 'CA-2014-CS12505140-41900'), 
('1', '652.68', 'TEC-PH-3806', 'CG-2015-GH442533-42242'), 
('5', '289.8', 'TEC-AC-3396', 'IN-2015-RD1972027-42144'), 
('3', '176.51', 'FUR-CH-4546', 'US-2014-SM2095054-41880'), 
('2', '342.08', 'TEC-AC-5897', 'MX-2012-HA1490551-41255'), 
('6', '225.3', 'OFF-EN-4910', 'IN-2013-MT17815144-41391'), 
('3', '128.39', 'OFF-ST-6068', 'ES-2015-BE1141048-42224'), 
('12', '132.62', 'OFF-AR-3539', 'TU-2015-GR4560134-42159'), 
('4', '157.68', 'OFF-SU-2965', 'IN-2013-MT1807027-41571'), 
('2', '456.59', 'OFF-BI-4345', 'CA-2014-CS12505140-41969'), 
('1', '258.75', 'TEC-AC-3402', 'IN-2015-VG2180558-42273'), 
('4', '264.51', 'FUR-BO-3631', 'MX-2012-SZ2003582-41080'), 
('5', '168.1', 'OFF-AP-4240', 'US-2015-CS12505140-42311'), 
('5', '874.36', 'OFF-ST-5703', 'ID-2015-JP1552059-42223'), 
('3', '1629.27', 'OFF-AP-4507', 'ES-2014-MM18280120-41658'), 
('9', '259.28', 'TEC-AC-5101', 'IN-2012-SG206057-40978'), 
('2', '195.45', 'TEC-CO-4581', 'MX-2012-RA1991518-41149'), 
('8', '550.4', 'FUR-CH-5395', 'MX-2013-TB2128036-41633'), 
('5', '382.9', 'FUR-FU-4067', 'MX-2013-BG1174018-41493'), 
('2', '248.22', 'FUR-BO-3906', 'IN-2014-BT1168027-41795'), 
('3', '125.1', 'OFF-EN-3668', 'IN-2012-CD1198027-41195'), 
('4', '202.2', 'OFF-BI-2899', 'IS-2015-RF973563-42220'), 
('3', '59.98', 'TEC-AC-5281', 'CA-2014-CS12505140-41969'), 
('5', '179.0', 'OFF-AR-3447', 'MX-2012-Co1264018-41012'), 
('2', '96.84', 'OFF-ST-4094', 'MO-2012-BM178586-41013'), 
('7', '52.14', 'OFF-SU-2972', 'CA-2014-CS12505140-41957'), 
('3', '200.67', 'TEC-CO-4784', 'US-2014-JD1615036-41675'), 
('5', '18.75', 'OFF-LA-6021', 'CA-2012-CS12505140-40993'), 
('5', '250.65', 'OFF-BI-3727', 'ES-2012-ME1732048-41181'), 
('4', '1007.74', 'TEC-CO-3710', 'MX-2014-RS1942018-41817'), 
('3', '638.56', 'TEC-CO-4578', 'MX-2014-Dp1324026-41744'), 
('5', '131.85', 'FUR-FU-3932', 'IT-2015-JO15550139-42237'), 
('2', '324.92', 'TEC-CO-3592', 'ES-2014-JF1556545-41886'), 
('1', '306.63', 'TEC-MA-4197', 'MO-2015-LC714086-42106'), 
('8', '260.88', 'TEC-PH-5348', 'IT-2013-TM21010124-41349'), 
('4', '327.12', 'OFF-AP-4749', 'IT-2015-TS21340139-42228'), 
('2', '441.61', 'TEC-MA-4206', 'ES-2015-TS2108545-42033'), 
('7', '381.22', 'TEC-AC-3385', 'MX-2015-RA1928582-42031'), 
('5', '282.4', 'FUR-CH-5406', 'MX-2012-DB1366028-41256'), 
('7', '362.88', 'OFF-AR-3471', 'ES-2014-JO1514545-41949'), 
('7', '342.72', 'OFF-ST-6059', 'IN-2015-JC1610527-42214'), 
('3', '1055.46', 'TEC-CO-3708', 'ID-2012-MZ1751559-40969'), 
('6', '25.68', 'OFF-PA-6509', 'CA-2013-CS12505140-41406'), 
('3', '12.84', 'OFF-PA-6518', 'CA-2013-CS12505140-41406'), 
('5', '256.44', 'FUR-CH-4518', 'ES-2014-BE1133548-41686'), 
('8', '489.12', 'FUR-CH-5452', 'MX-2013-MM1792018-41582'), 
('5', '184.01', 'OFF-SU-4321', 'ID-2013-PB18805144-41548'), 
('2', '122.69', 'TEC-AC-3391', 'MX-2012-HG1496536-41262'), 
('6', '300.78', 'OFF-BI-3727', 'HR-2014-BE145530-41823'), 
('4', '344.76', 'TEC-MA-5013', 'AU-2015-CA19658-42242'), 
('3', '731.94', 'FUR-CH-4650', 'CA-2014-CG12520140-41952'), 
('2', '261.96', 'FUR-BO-3645', 'CA-2014-CG12520140-41952'), 
('2', '228.68', 'FUR-CH-5455', 'MX-2015-KE1642031-42252'), 
('1', '211.94', 'TEC-CO-3598', 'MX-2013-RA1988531-41556'), 
('6', '292.68', 'FUR-FU-4043', 'MZ-2012-CS250587-41020'), 
('6', '120.04', 'FUR-FU-4076', 'ES-2015-JF1529548-42313'), 
('6', '131.38', 'FUR-FU-3828', 'US-2013-CG12520140-41562'), 
('3', '354.15', 'TEC-MA-5576', 'IN-2015-RH1951011-42040'), 
('2', '561.33', 'TEC-MA-5006', 'IN-2012-BP111857-41249'), 
('6', '323.46', 'FUR-CH-5371', 'IN-2015-DG1330027-42166'), 
('2', '232.62', 'FUR-FU-4065', 'ES-2015-MG1789045-42364'), 
('6', '293.58', 'OFF-ST-6057', 'IN-2015-KM1666078-42321'), 
('2', '18.16', 'OFF-ST-6015', 'CA-2015-CG12520140-42031'), 
('2', '110.28', 'FUR-FU-4037', 'ZA-2014-JW6075146-41739'), 
('5', '111.45', 'OFF-SU-4986', 'ES-2015-KS1630014-42334'), 
('1', '5.34', 'OFF-PA-6544', 'US-2013-CG12520140-41562'), 
('10', '100.56', 'FUR-FU-5740', 'US-2015-NP1832582-42216'), 
('3', '727.54', 'FUR-CH-4654', 'US-2013-GB1457582-41541'), 
('6', '284.4', 'FUR-CH-4629', 'IN-2015-AW1084027-42251'), 
('3', '373.9', 'TEC-PH-3818', 'IN-2014-DR129407-41728'), 
('2', '779.58', 'FUR-BO-5788', 'EG-2014-GH442538-41817'), 
('13', '1564.29', 'OFF-ST-4839', 'US-2014-CB12535140-41662'), 
('5', '251.55', 'FUR-FU-3928', 'IN-2013-RW1954027-41336'), 
('5', '415.3', 'FUR-BO-3894', 'MX-2015-BS1136518-42231'), 
('3', '106.09', 'FUR-FU-3953', 'IT-2012-AG10330139-41109'), 
('2', '159.48', 'TEC-PH-5254', 'MD-2013-JK520583-41545'), 
('5', '174.45', 'OFF-SU-4117', 'IN-2014-JO1528058-41875'), 
('7', '308.11', 'FUR-FU-6254', 'MX-2014-SW2075582-41926'), 
('2', '382.14', 'TEC-CO-4573', 'ES-2014-LD1700514-41990'), 
('2', '262.24', 'OFF-AP-4932', 'CA-2015-CB12535140-42069'), 
('6', '440.88', 'TEC-PH-3792', 'IN-2014-MZ1733588-41979'), 
('2', '92.64', 'TEC-AC-5130', 'IN-2014-PN1877527-41989'), 
('8', '388.8', 'OFF-AR-3552', 'MO-2014-PA906086-41965'), 
('6', '118.62', 'OFF-AR-3484', 'IT-2014-KC1667548-41882'), 
('7', '159.14', 'FUR-FU-4075', 'IN-2015-PR188807-42260'), 
('4', '404.76', 'TEC-AC-5122', 'ES-2012-JA15970139-41080'), 
('1', '254.03', 'FUR-TA-3341', 'ID-2014-TH2110059-41842'), 
('5', '509.96', 'FUR-BO-3621', 'CA-2013-CB12535140-41408'), 
('5', '588.92', 'TEC-PH-3817', 'ES-2013-SV2081545-41601'), 
('4', '603.24', 'FUR-BO-5770', 'MZ-2015-CR262587-42167'), 
('4', '165.21', 'FUR-FU-4035', 'IN-2014-EH1399059-41732'), 
('3', '148.97', 'FUR-CH-5759', 'ES-2013-JH16180120-41548'), 
('3', '722.35', 'FUR-CH-4415', 'CA-2013-CB12535140-41408'), 
('3', '428.4', 'FUR-BO-3887', 'ES-2015-PC19000139-42075'), 
('6', '187.02', 'OFF-ST-5695', 'EZ-2015-PS904532-42184'), 
('1', '144.18', 'TEC-CO-3703', 'IN-2015-GH1442558-42150'), 
('5', '351.68', 'OFF-ST-5691', 'IT-2015-DL1286591-42231'), 
('6', '234.36', 'OFF-BI-4836', 'CA-2015-CB12535140-42069'), 
('4', '233.67', 'TEC-AC-5873', 'IN-2015-SC2038059-42133'), 
('3', '347.88', 'TEC-MA-5542', 'MX-2014-MO1750018-41927'), 
('3', '299.97', 'TEC-AC-5111', 'CA-2015-CB12535140-42069'), 
('6', '434.04', 'FUR-FU-5730', 'MX-2014-RA1988551-41795'), 
('4', '124.68', 'OFF-ST-5695', 'IR-2015-PL892560-42320'), 
('2', '85.52', 'OFF-ST-5789', 'CA-2013-CB12535140-41275'), 
('3', '408.36', 'OFF-ST-6263', 'MX-2012-DN1369082-41165'), 
('3', '358.92', 'TEC-CO-6006', 'ES-2012-RD1948064-41272'), 
('8', '222.24', 'TEC-AC-3398', 'IN-2014-TT2107099-41804'), 
('1', '175.16', 'TEC-MA-4205', 'MX-2014-SV2078528-41684'), 
('2', '415.62', 'OFF-ST-4267', 'PL-2014-JB5400103-41755'), 
('3', '397.44', 'FUR-CH-5794', 'IN-2015-RR1931558-42225'), 
('2', '255.78', 'OFF-ST-4056', 'ES-2015-SW20275139-42249'), 
('1', '176.39', 'TEC-CO-4568', 'MX-2015-NG1843018-42298'), 
('1', '362.85', 'FUR-BO-4860', 'IZ-2015-KM672061-42020'), 
('3', '131.87', 'OFF-BI-3257', 'IN-2012-PB192107-41158'), 
('5', '231.15', 'OFF-EN-3661', 'IN-2012-TH211151-41003'), 
('8', '243.84', 'OFF-BI-2884', 'IN-2013-TG2164027-41545'), 
('2', '97.57', 'FUR-CH-5381', 'CA-2013-CB12535140-41408'), 
('4', '118.44', 'OFF-SU-2980', 'IN-2014-MC1742527-41653'), 
('3', '73.63', 'OFF-AR-3491', 'IN-2015-SC200507-42258'), 
('5', '155.4', 'OFF-SU-2995', 'MX-2013-AY1055582-41604'), 
('5', '579.94', 'TEC-CO-4769', 'MX-2013-CA1226518-41277'), 
('5', '256.23', 'OFF-AP-4509', 'ID-2015-AA103157-42241'), 
('1', '256.56', 'TEC-AC-5897', 'ES-2012-LW1699045-41165'), 
('1', '204.15', 'OFF-ST-6261', 'RO-2015-LR7035107-42224'), 
('7', '88.41', 'OFF-LA-4639', 'IN-2015-LF1718558-42234'), 
('3', '69.44', 'OFF-ST-4284', 'MX-2014-AA1064598-41889'), 
('8', '130.35', 'FUR-FU-3957', 'ID-2015-JD15790130-42041'), 
('8', '239.28', 'OFF-PA-4177', 'UZ-2015-MS7770142-42230'), 
('3', '122.91', 'FUR-FU-3883', 'CA-2013-CB12535140-41408'), 
('5', '244.0', 'TEC-PH-5341', 'MX-2013-DE1325551-41370'), 
('3', '561.09', 'OFF-ST-4267', 'ES-2013-CW1190545-41488'), 
('5', '326.3', 'FUR-CH-4559', 'MX-2013-SL2015539-41486'), 
('2', '140.95', 'FUR-CH-5457', 'TU-2012-JP5460134-40998'), 
('4', '42.68', 'OFF-EN-5047', 'CA-2015-CB12535140-42069'), 
('6', '685.58', 'OFF-ST-4055', 'IN-2014-MZ175157-41984'), 
('5', '777.87', 'FUR-BO-4857', 'IN-2014-ML177557-41650'), 
('6', '168.84', 'TEC-AC-3394', 'MX-2014-MC18130100-41853'), 
('2', '157.98', 'FUR-CH-4698', 'IN-2014-HR148307-41891'), 
('8', '126.36', 'FUR-FU-6260', 'IN-2014-SH199757-41776'), 
('1', '192.83', 'TEC-PH-5267', 'NI-2014-LW721595-41993'), 
('7', '205.8', 'OFF-EN-3670', 'IT-2012-NF1838564-41178'), 
('3', '109.53', 'OFF-SU-4116', 'ES-2013-TD20995120-41412'), 
('2', '111.88', 'FUR-CH-4697', 'MX-2014-AG1039080-41942'), 
('4', '194.4', 'OFF-AR-3552', 'ES-2012-CK1232548-41129'), 
('8', '216.72', 'OFF-EN-3105', 'SA-2015-GP4740110-42182'), 
('3', '214.02', 'TEC-AC-5199', 'ES-2014-MR1754545-41898'), 
('3', '122.94', 'OFF-BI-6408', 'CA-2013-CB12535140-41464'), 
('3', '20.04', 'OFF-PA-6515', 'CA-2013-CB12535140-41275'), 
('3', '232.62', 'TEC-AC-3390', 'MX-2014-JM1525082-41901'), 
('2', '253.92', 'OFF-ST-4055', 'RS-2015-MB7305108-42131'), 
('1', '184.92', 'TEC-PH-3784', 'SA-2014-ON8715110-41704'), 
('5', '126.9', 'OFF-AR-6117', 'ES-2015-VG2179045-42259'), 
('3', '203.69', 'TEC-PH-3127', 'US-2015-DL12925143-42118'), 
('1', '350.62', 'TEC-CO-3610', 'IN-2015-PF1922559-42173'), 
('1', '472.75', 'OFF-AP-4964', 'IN-2013-RM19675144-41396'), 
('2', '243.06', 'FUR-BO-3893', 'IV-2014-SG1047029-41951'), 
('8', '397.22', 'FUR-CH-5806', 'NI-2015-SS1087595-42117'), 
('3', '94.28', 'OFF-SU-4306', 'IN-2012-VP217307-41166'), 
('2', '227.24', 'FUR-CH-5805', 'MX-2015-BD1132039-42293'), 
('8', '112.18', 'OFF-AR-5932', 'ZA-2013-LC6885147-41291'), 
('2', '227.6', 'FUR-BO-3899', 'MX-2015-JF1541551-42263'), 
('3', '9.84', 'OFF-AR-5290', 'CA-2013-CB12535140-41275'), 
('6', '154.87', 'TEC-AC-5222', 'ID-2012-DA1345092-41101'), 
('3', '366.21', 'FUR-BO-3896', 'ES-2014-LB1679564-41903'), 
('2', '513.12', 'TEC-AC-5897', 'IN-2012-RB1936092-41130'), 
('3', '14.82', 'FUR-FU-3830', 'CA-2014-CB12535140-41951'), 
('1', '122.25', 'TEC-MA-5021', 'MO-2014-CK276086-41658'), 
('4', '242.4', 'FUR-BO-5798', 'US-2013-SC2057555-41525'), 
('2', '178.08', 'FUR-CH-5411', 'US-2012-DB1340582-41214'), 
('6', '277.38', 'OFF-EN-3661', 'IN-2014-AB1016558-41980'), 
('1', '149.58', 'FUR-CH-4544', 'UP-2015-BM1140137-42119'), 
('5', '94.05', 'OFF-EN-4923', 'ES-2012-DP1339045-41046'), 
('3', '136.26', 'TEC-AC-5220', 'IT-2013-KC16540120-41551'), 
('6', '8.35', 'FUR-FU-4092', 'CA-2013-CB12535140-41402'), 
('4', '214.8', 'OFF-AR-5905', 'ES-2015-PB19150139-42221'), 
('9', '179.1', 'OFF-AR-3494', 'MX-2013-JO1514518-41401'), 
('3', '135.54', 'OFF-PA-3988', 'ES-2013-FH1427548-41352'), 
('1', '189.69', 'TEC-CO-3593', 'AG-2013-PF91653-41608'), 
('2', '6.58', 'OFF-PA-6312', 'CA-2013-CB12535140-41464'), 
('6', '291.78', 'OFF-SU-4131', 'ES-2012-BT11440139-41262'), 
('5', '69.3', 'OFF-FA-5467', 'IN-2013-JH1618058-41418'), 
('3', '14.02', 'OFF-AR-5653', 'CA-2015-CB12535140-42172'), 
('3', '411.62', 'FUR-CH-5455', 'IN-2015-MG1789097-42022'), 
('4', '828.55', 'TEC-CO-4766', 'ES-2015-TS2108545-42033'), 
('3', '588.6', 'FUR-BO-5777', 'IN-2012-JR1567027-41031'), 
('4', '398.88', 'FUR-CH-4544', 'MX-2013-LH17020141-41394'), 
('6', '8.04', 'OFF-AR-2873', 'US-2014-CB12535140-41662'), 
('1', '378.39', 'TEC-CO-4592', 'IN-2015-JL1523527-42322'), 
('2', '337.62', 'FUR-BO-3897', 'IN-2013-MH1744027-41627'), 
('8', '1333.92', 'TEC-PH-5338', 'ES-2012-RM1975048-41199'), 
('3', '127.68', 'FUR-CH-5407', 'MX-2015-SJ2012582-42076'), 
('3', '200.54', 'FUR-BO-3630', 'MX-2014-TD2099582-41914'), 
('4', '175.92', 'OFF-SU-3004', 'ES-2012-AH1019564-41130'), 
('2', '256.86', 'OFF-ST-6033', 'EG-2014-MY829538-41878'), 
('3', '168.78', 'OFF-AP-4748', 'MX-2013-TH2111518-41639'), 
('5', '240.45', 'OFF-SU-6177', 'ES-2015-JL15850139-42086'), 
('2', '99.98', 'TEC-AC-5143', 'US-2014-CB12535140-41662'), 
('6', '243.36', 'OFF-EN-3666', 'IN-2015-MC1757558-42290'), 
('4', '114.72', 'TEC-AC-5222', 'MX-2015-MC1760531-42291'), 
('4', '404.88', 'TEC-PH-3803', 'MX-2012-HL1504093-40929'), 
('2', '479.9', 'TEC-MA-5571', 'IN-2012-BW111107-40955'), 
('4', '195.72', 'FUR-FU-3952', 'CM-2012-CL256522-41079'), 
('8', '404.16', 'FUR-FU-3953', 'SF-2013-DV3045117-41441'), 
('3', '69.75', 'OFF-AR-5917', 'ES-2015-KH1651014-42333'), 
('5', '136.6', 'FUR-FU-3934', 'MX-2015-PB1910528-42231'), 
('3', '425.25', 'TEC-CO-6010', 'US-2012-JR15700143-40918'), 
('3', '285.89', 'TEC-CO-5992', 'US-2015-PB188055-42196'), 
('3', '47.98', 'TEC-PH-3121', 'CA-2015-CC12550140-42171'), 
('9', '225.45', 'OFF-AR-6120', 'ES-2013-RB1957064-41417'), 
('7', '45.36', 'OFF-PA-6456', 'CA-2015-CC12550140-42340'), 
('6', '341.28', 'OFF-AR-3450', 'MO-2014-MA799586-41825'), 
('8', '400.61', 'TEC-AC-4155', 'ID-2014-PT1909092-41770'), 
('2', '10.13', 'OFF-BI-3732', 'CA-2015-CC12550140-42340'), 
('4', '288.0', 'FUR-CH-4524', 'PL-2013-MS7530103-41545'), 
('4', '812.88', 'OFF-ST-6264', 'IN-2015-RC1996027-42227'), 
('4', '200.64', 'FUR-FU-4040', 'IN-2015-AG1052511-42235'), 
('5', '228.75', 'OFF-AR-5931', 'ES-2012-TZ2158048-41032'), 
('2', '306.24', 'TEC-PH-3801', 'MO-2014-RO978086-41960'), 
('3', '370.64', 'TEC-CO-3696', 'ES-2014-JM1586545-41803'), 
('2', '102.9', 'OFF-BI-2902', 'ES-2014-MM1726045-41688'), 
('3', '306.81', 'TEC-AC-5203', 'ES-2013-RF1984048-41485'), 
('4', '328.64', 'TEC-PH-5359', 'MX-2014-AJ1096031-41801'), 
('6', '131.58', 'OFF-SU-4130', 'IN-2012-NF1838527-41265'), 
('1', '136.38', 'OFF-ST-4260', 'IR-2015-NP870060-42332'), 
('1', '150.12', 'TEC-CO-4579', 'CM-2015-DB297022-42151'), 
('3', '243.65', 'OFF-AP-3564', 'IN-2013-JJ157607-41593'), 
('1', '173.94', 'FUR-CH-5456', 'IN-2013-JK1612058-41520'), 
('3', '325.36', 'OFF-ST-6262', 'ID-2012-SC20380130-41194'), 
('4', '220.56', 'OFF-ST-6273', 'IN-2015-AF1088558-42222'), 
('2', '10.37', 'OFF-PA-6557', 'CA-2015-CC12550140-42342'), 
('13', '514.41', 'OFF-EN-4915', 'ES-2014-BS1166548-41879'), 
('2', '524.28', 'TEC-CO-3681', 'IN-2015-CD1279078-42122'), 
('3', '1006.06', 'OFF-ST-6020', 'CA-2014-CL12565140-41768'), 
('2', '76.5', 'OFF-EN-3101', 'IN-2013-TM2101058-41532'), 
('9', '383.13', 'FUR-FU-3935', 'IN-2014-CM1183027-41699'), 
('6', '163.98', 'OFF-BI-3186', 'AG-2015-CL25653-42164'), 
('6', '2548.56', 'TEC-MA-6631', 'CA-2013-CL12565140-41638'), 
('1', '306.63', 'TEC-MA-4197', 'SU-2013-SS10515122-41592'), 
('3', '635.81', 'TEC-CO-3598', 'US-2013-BS1136565-41301'), 
('2', '215.88', 'TEC-MA-6138', 'MX-2012-LP1708082-41142'), 
('4', '327.23', 'OFF-AP-4733', 'US-2013-MH1762018-41612'), 
('4', '468.12', 'TEC-MA-4212', 'IN-2012-ES1408027-40941'), 
('1', '126.0', 'TEC-PH-5357', 'IZ-2015-GH442561-42348'), 
('3', '254.88', 'TEC-AC-4157', 'ES-2013-JE1547545-41450'), 
('5', '405.1', 'FUR-BO-3893', 'MX-2015-EH1412539-42140'), 
('3', '256.74', 'OFF-ST-4057', 'MX-2015-CS1249082-42286'), 
('3', '212.85', 'FUR-BO-4844', 'ES-2015-DL1286591-42250'), 
('2', '289.32', 'FUR-CH-4545', 'MO-2012-JF541586-41266'), 
('1', '136.59', 'TEC-PH-5838', 'IZ-2014-BD132061-41852'), 
('3', '359.4', 'FUR-CH-4681', 'IN-2013-DK128357-41509'), 
('1', '203.22', 'OFF-ST-6264', 'DJ-2012-ER385535-41171'), 
('8', '369.6', 'OFF-SU-3001', 'ES-2013-MT18070139-41636'), 
('14', '129.7', 'OFF-SU-4316', 'TU-2013-NP8700134-41580'), 
('5', '545.52', 'OFF-ST-4260', 'IT-2012-SF2006548-41201'), 
('6', '470.23', 'FUR-CH-4683', 'ID-2015-SC2084592-42136'), 
('8', '348.16', 'TEC-PH-3142', 'MX-2015-SV2081582-42335'), 
('6', '600.59', 'TEC-PH-5815', 'IT-2012-JC1610564-41053'), 
('3', '309.36', 'TEC-PH-3800', 'MX-2012-ED1388551-40956'), 
('5', '1487.04', 'FUR-CH-4489', 'CA-2012-CL12565140-41161'), 
('2', '558.4', 'TEC-MA-5491', 'CA-2014-CL12565140-41788'), 
('3', '446.04', 'TEC-CO-4582', 'ES-2015-JK1520564-42199'), 
('5', '135.95', 'OFF-AR-3543', 'ES-2013-NP1870048-41541'), 
('6', '1805.88', 'FUR-CH-4415', 'CA-2015-CL12565140-42085'), 
('1', '178.68', 'TEC-CO-6009', 'IT-2013-SJ2012591-41545'), 
('5', '354.9', 'OFF-ST-5980', 'CA-2012-CL12565140-40971'), 
('4', '213.12', 'OFF-ST-6284', 'MO-2014-TR1132586-41972'), 
('1', '133.11', 'FUR-CH-4681', 'MO-2015-BF121586-42252'), 
('4', '492.96', 'TEC-PH-5846', 'SG-2014-CK2760111-41879'), 
('5', '110.7', 'OFF-SU-2990', 'ES-2015-LH1690064-42231'), 
('6', '223.45', 'FUR-CH-5759', 'ID-2014-BB109907-41854'), 
('3', '193.19', 'TEC-AC-5202', 'ID-2014-FC143357-41860'), 
('2', '131.64', 'FUR-CH-5439', 'IN-2012-BD1163592-41222'), 
('6', '204.23', 'FUR-FU-4086', 'ID-2015-CS123557-42328'), 
('3', '423.24', 'OFF-ST-5700', 'MX-2013-CS1186093-41580'), 
('6', '160.58', 'OFF-AR-3468', 'ID-2014-DJ13420102-41895'), 
('1', '319.98', 'TEC-CO-3595', 'CG-2013-MG814533-41559'), 
('2', '673.57', 'OFF-BI-4337', 'CA-2014-CL12565140-41897'), 
('3', '307.68', 'TEC-CO-3682', 'US-2013-CL1256536-41564'), 
('5', '303.92', 'FUR-FU-4015', 'CA-2014-CL12565140-41993'), 
('7', '287.49', 'OFF-SU-4138', 'IN-2014-DL1333066-41770'), 
('8', '372.96', 'OFF-SU-2995', 'IN-2015-GW1460527-42089'), 
('1', '414.03', 'FUR-BO-3626', 'AL-2013-JD60152-41483'), 
('2', '292.82', 'TEC-AC-5224', 'ID-2014-AG1090092-41956'), 
('2', '262.24', 'OFF-AP-4932', 'CA-2014-CL12565140-41788'), 
('5', '365.25', 'TEC-PH-5260', 'ES-2013-GH1466548-41443'), 
('8', '330.24', 'OFF-SU-3003', 'RS-2015-HE4800108-42041'), 
('2', '237.49', 'OFF-ST-4078', 'IT-2014-LS1720064-41954'), 
('2', '175.24', 'FUR-CH-5396', 'MX-2013-BG1169531-41418'), 
('2', '81.6', 'OFF-AP-4496', 'CG-2014-DM334533-41941'), 
('6', '272.88', 'OFF-AR-5930', 'SF-2014-EL3735117-41919'), 
('3', '167.83', 'OFF-ST-5707', 'IT-2014-MC1727548-41991'), 
('7', '164.71', 'OFF-BI-6372', 'ID-2014-MT1807059-41839'), 
('7', '286.03', 'OFF-BI-3724', 'IN-2014-SC20260144-41927'), 
('3', '755.39', 'TEC-CO-3609', 'MX-2013-MD1735039-41612'), 
('3', '108.29', 'OFF-AP-3564', 'US-2015-BS1175598-42282'), 
('9', '120.74', 'FUR-FU-3928', 'US-2013-SJ2021518-41543'), 
('5', '137.25', 'OFF-BI-6369', 'ES-2015-PW1903045-42249'), 
('3', '287.88', 'TEC-PH-3809', 'CA-2013-CL12565140-41638'), 
('3', '225.34', 'OFF-AP-4971', 'ES-2013-AJ1078045-41577'), 
('3', '437.85', 'TEC-PH-6364', 'CA-2014-CL12565140-41897'), 
('5', '239.1', 'OFF-EN-4441', 'IN-2012-BS1159027-41020'), 
('5', '500.4', 'TEC-AC-5204', 'ES-2014-SC20230120-41894'), 
('7', '131.6', 'TEC-AC-4876', 'CA-2014-CL12565140-41788'), 
('4', '357.12', 'FUR-CH-5451', 'IZ-2014-AW93061-41965'), 
('8', '182.72', 'OFF-PA-6550', 'CA-2014-CL12565140-41788'), 
('2', '402.75', 'TEC-MA-5513', 'ID-2012-HF14995102-41198'), 
('2', '426.55', 'FUR-TA-3418', 'ID-2015-PC1874588-42056'), 
('4', '190.32', 'OFF-AR-3501', 'IN-2015-SE20110113-42026'), 
('5', '418.35', 'FUR-CH-4700', 'IN-2015-PN1877558-42354'), 
('3', '271.44', 'OFF-EN-6327', 'CA-2013-CL12565140-41638'), 
('2', '75.96', 'OFF-AR-4798', 'CA-2014-CL12565140-41947'), 
('4', '135.55', 'FUR-CH-5406', 'TU-2013-VS11820134-41362'), 
('10', '292.8', 'OFF-SU-4325', 'MX-2013-BD1150031-41440'), 
('2', '311.18', 'FUR-BO-5968', 'US-2013-BS1175555-41367'), 
('4', '267.72', 'OFF-AP-4725', 'ES-2015-EL13735120-42224'), 
('4', '182.3', 'TEC-PH-5339', 'IN-2015-GB145757-42185'), 
('4', '123.14', 'FUR-CH-5755', 'CA-2012-CL12565140-41101'), 
('5', '471.0', 'FUR-CH-5450', 'IN-2014-CA1226527-41794'), 
('2', '250.2', 'FUR-BO-4865', 'IN-2012-PL1892527-41228'), 
('3', '68.52', 'OFF-PA-6482', 'CA-2013-CL12565140-41638'), 
('2', '25.12', 'OFF-ST-4516', 'CA-2014-CL12565140-41768'), 
('2', '242.21', 'FUR-CH-4704', 'ID-2012-GA1472559-41268'), 
('4', '157.56', 'OFF-EN-3103', 'IN-2014-JM1525027-41985'), 
('6', '202.03', 'TEC-MA-4195', 'MX-2012-RP1985536-41268'), 
('1', '318.09', 'FUR-TA-4634', 'UP-2014-AA645137-41807'), 
('2', '100.17', 'FUR-CH-5411', 'KZ-2015-PK891068-42248'), 
('8', '182.09', 'FUR-FU-6276', 'IN-2012-RD199307-41028'), 
('14', '237.72', 'OFF-ST-4060', 'IZ-2013-JP546061-41444'), 
('6', '207.84', 'FUR-FU-3951', 'MX-2013-BF1121551-41503'), 
('5', '346.08', 'TEC-PH-5273', 'MX-2015-HD1478536-42075'), 
('3', '200.54', 'FUR-BO-3630', 'MX-2014-BW1111082-41851'), 
('2', '58.11', 'TEC-AC-5858', 'CA-2014-CL12565140-41768'), 
('14', '154.98', 'OFF-FA-2958', 'ES-2013-PB1921045-41438'), 
('8', '327.84', 'FUR-FU-3934', 'IN-2014-RD1966092-41689'), 
('3', '74.94', 'OFF-ST-2860', 'CA-2013-CL12565140-41638'), 
('3', '21.24', 'OFF-AR-5916', 'CA-2012-CL12565140-41153'), 
('5', '537.71', 'FUR-BO-3899', 'ID-2015-SV20365130-42173'), 
('3', '350.14', 'FUR-BO-3616', 'ID-2015-LC1693097-42264'), 
('3', '270.38', 'FUR-CH-4560', 'ES-2012-CT1199545-41121'), 
('5', '235.05', 'OFF-PA-4146', 'IN-2015-CH1207027-42238'), 
('14', '319.21', 'TEC-AC-5222', 'ID-2014-SV2078559-41831'), 
('2', '169.92', 'TEC-AC-4157', 'ES-2015-BG1174045-42363'), 
('3', '135.43', 'FUR-FU-4040', 'IN-2013-HF149957-41332'), 
('1', '169.44', 'OFF-ST-6261', 'ID-2014-ML1741059-41773'), 
('2', '335.81', 'OFF-AP-3581', 'NI-2014-MH745595-41696'), 
('2', '10.69', 'OFF-PA-6448', 'CA-2014-CL12565140-41768'), 
('2', '288.94', 'OFF-AP-4505', 'US-2015-MT1781518-42306'), 
('1', '192.78', 'TEC-CO-3682', 'MO-2014-FM421586-41901'), 
